# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(o)			Inflow o metallicity
#	10: z_in(mg)			Inflow mg metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(o)			Outflow o metallicity
#	13: z_out(mg)			Outflow mg metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(o) [Msun]		mass of element o in ISM
#	16: mass(mg) [Msun]		mass of element mg in ISM
0.000000e+00	1.000000e-12	0.000000e+00	0.000000e+00	nan	0.000000e+00	2.150000e+00	-nan	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
5.000000e-03	6.133190e+07	0.000000e+00	3.066595e-02	1.236298e+01	6.593179e-02	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.496983e-06	3.720519e-05	1.232732e-06	2.144766e+02	2.281865e+03	7.560579e+01	
1.000000e-02	1.224698e+08	1.533297e+05	6.123491e-02	1.242048e+01	1.316551e-01	2.150000e+00	4.796148e-02	0.000000e+00	0.000000e+00	0.000000e+00	5.234476e-06	5.569077e-05	1.845221e-06	6.410654e+02	6.820439e+03	2.259839e+02	
1.500000e-02	1.834143e+08	4.448197e+05	9.170717e-02	1.247484e+01	1.971704e-01	2.150000e+00	7.392245e-02	0.000000e+00	0.000000e+00	0.000000e+00	6.964959e-06	7.410177e-05	2.455239e-06	1.277473e+03	1.359133e+04	4.503260e+02	
2.000000e-02	2.441660e+08	8.694595e+05	1.220830e-01	1.252811e+01	2.624784e-01	2.150000e+00	9.163345e-02	0.000000e+00	0.000000e+00	0.000000e+00	8.688527e-06	9.243920e-05	3.062819e-06	2.121443e+03	2.257051e+04	7.478362e+02	
2.500000e-02	3.047253e+08	1.423940e+06	1.523627e-01	1.258063e+01	3.275797e-01	2.150000e+00	1.050161e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.040526e-05	1.107039e-04	3.667988e-06	3.170745e+03	3.373427e+04	1.117729e+03	
3.000000e-02	3.650929e+08	2.105751e+06	1.825465e-01	1.263254e+01	3.924749e-01	2.150000e+00	1.157354e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.211521e-05	1.288965e-04	4.270769e-06	4.423178e+03	4.705919e+04	1.559228e+03	
3.500000e-02	4.252693e+08	2.912848e+06	2.126347e-01	1.268395e+01	4.571645e-01	2.150000e+00	1.246530e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.381845e-05	1.470176e-04	4.871182e-06	5.876562e+03	6.252206e+04	2.071564e+03	
4.000000e-02	4.852551e+08	3.843493e+06	2.426275e-01	1.273492e+01	5.216492e-01	2.150000e+00	1.322722e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.551502e-05	1.650678e-04	5.469246e-06	7.528741e+03	8.009997e+04	2.653979e+03	
4.500000e-02	5.450507e+08	4.896166e+06	2.725253e-01	1.278549e+01	5.859295e-01	2.150000e+00	1.389123e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.720497e-05	1.830476e-04	6.064976e-06	9.377581e+03	9.977020e+04	3.305719e+03	
5.000000e-02	6.046567e+08	6.069507e+06	3.023284e-01	1.283569e+01	6.500060e-01	2.150000e+00	1.447987e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.888907e-05	2.009574e-04	6.658394e-06	1.142140e+04	1.215103e+05	4.026043e+03	
5.500000e-02	6.640737e+08	7.362265e+06	3.320369e-01	1.288554e+01	7.138793e-01	2.150000e+00	1.500878e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.056781e-05	2.187979e-04	7.249516e-06	1.365854e+04	1.452979e+05	4.814213e+03	
6.000000e-02	7.233023e+08	8.773276e+06	3.616511e-01	1.293508e+01	7.775500e-01	2.150000e+00	1.548887e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.224153e-05	2.365691e-04	7.838325e-06	1.608735e+04	1.711110e+05	5.669479e+03	
